#id	month	rating	games
45107785	2017-01	1335	3
36070378	2017-01	1241	4
45143404	2017-01	1031	12
36067377	2017-01	1150	5
26075954	2017-01	1622	6
26088240	2017-01	1065	3
36037354	2017-01	1276	4
36099112	2017-01	1226	2
45106746	2017-01	1070	46
36066362	2017-01	1016	7
36051756	2017-01	1228	4
36022365	2017-01	1303	10
36075736	2017-01	1033	8
45109583	2017-01	1192	2
45107459	2017-01	1039	1
45133263	2017-01	1105	10
36019640	2017-01	1223	3
36083372	2017-01	1326	5
36077178	2017-01	1148	1
36016691	2017-01	1458	3
36075744	2017-01	1063	2
36056839	2017-01	1160	3
36051217	2017-01	1351	5
45102104	2017-01	1109	5
45118280	2017-01	1091	4
45105863	2017-01	1077	1
45126798	2017-01	1078	2
36082066	2017-01	1384	3
36081264	2017-01	1091	1
45108145	2017-01	1224	5
45106614	2017-01	1232	1
45111928	2017-01	1143	8
36094366	2017-01	1278	4
36044644	2017-01	1523	7
36098841	2017-01	1005	4
36099490	2017-01	1016	7
36022101	2017-01	1181	1
36054038	2017-01	1296	8
36088218	2017-01	1162	2
36074918	2017-01	1304	1
36099589	2017-01	1112	5
36056847	2017-01	1109	2
45125244	2017-01	1188	2
45107513	2017-01	1255	7
45116270	2017-01	1127	1
36099783	2017-01	1307	4
45101698	2017-01	1078	2
45137099	2017-01	1109	6
36088625	2017-01	1076	5
36016624	2017-01	1210	2
36037370	2017-01	1125	3
45108340	2017-01	1115	5
36056855	2017-01	1208	1
45132933	2017-01	1119	1
45137013	2017-01	1379	1
45137145	2017-01	1045	5
36043141	2017-01	1027	1
36033995	2017-01	1383	9
36042080	2017-01	1339	3
36098442	2017-01	1234	2
36069655	2017-01	1007	5
36080039	2017-01	1064	1
36000310	2017-01	1663	6
36088676	2017-01	1024	1
36082279	2017-01	1316	6
36016950	2017-01	1359	9
36097799	2017-01	1137	7
36037397	2017-01	1151	2
36098477	2017-01	1069	2
45114307	2017-01	1016	7
45101418	2017-01	1357	5
36090670	2017-01	1262	3
36064378	2017-01	1125	2
45100446	2017-01	1239	2
36067431	2017-01	1235	6
36051250	2017-01	1095	8
45100861	2017-01	1108	3
36075760	2017-01	1109	3
45147752	2017-01	1167	2
36053775	2017-01	1100	2
45108382	2017-01	1209	4
45102635	2017-01	1553	2
36074284	2017-01	1056	2
45115753	2017-01	1326	4
36073938	2017-01	1152	5
36054046	2017-01	1127	4
36086886	2017-01	1008	6
36085111	2017-01	1087	6
45115419	2017-01	1095	3
45122580	2017-01	1243	3
36082805	2017-02	1195	1
45113890	2017-02	1081	7
45143404	2017-02	1071	7
45131325	2017-02	1189	5
36099112	2017-02	1250	6
45106746	2017-02	1118	11
45150737	2017-02	1125	3
36051756	2017-02	1240	8
45109583	2017-02	1258	6
45147833	2017-02	1112	6
36051217	2017-02	1373	10
36097926	2017-02	1268	6
45118280	2017-02	1165	5
36099309	2017-02	1010	9
36054038	2017-02	1301	7
36074918	2017-02	1376	9
36044440	2017-02	1078	1
36084859	2017-02	1211	10
45107513	2017-02	1332	6
45101698	2017-02	1080	7
36049336	2017-02	1187	4
36088625	2017-02	1067	5
36033995	2017-02	1422	5
36080039	2017-02	1086	3
36088676	2017-02	1029	4
45147752	2017-02	1177	7
36053775	2017-02	1127	4
36053627	2017-02	1115	5
36073563	2017-02	1155	13
36054046	2017-02	1155	2
45136181	2017-02	1112	5
45115419	2017-02	1049	10
36082805	2017-03	1197	3
36082813	2017-03	1038	5
45107785	2017-03	1400	7
36075728	2017-03	1243	5
36070378	2017-03	1233	2
36083364	2017-03	1255	15
36035726	2017-03	1095	8
45143404	2017-03	1092	9
36067377	2017-03	1171	4
26075954	2017-03	1691	6
26088240	2017-03	1032	4
36057096	2017-03	1043	5
36037354	2017-03	1300	2
45126550	2017-03	1074	7
36083356	2017-03	1121	7
36099112	2017-03	1233	7
45106746	2017-03	1248	9
45136122	2017-03	1003	6
36051756	2017-03	1268	3
36022365	2017-03	1432	8
36075736	2017-03	1003	4
45109583	2017-03	1270	1
45107459	2017-03	1027	2
45133263	2017-03	1117	2
36000205	2017-03	1130	8
36019640	2017-03	1249	5
36097993	2017-03	1154	10
36083372	2017-03	1482	8
36066893	2017-03	1046	10
45147833	2017-03	1122	6
36016691	2017-03	1489	7
36056839	2017-03	1134	3
36051217	2017-03	1244	13
45102104	2017-03	1096	3
36097926	2017-03	1397	9
45118280	2017-03	1165	4
45105863	2017-03	1142	5
45100829	2017-03	1152	7
45126798	2017-03	1046	4
45170363	2017-03	1009	5
36081264	2017-03	1107	6
45111928	2017-03	1198	4
36088200	2017-03	1085	3
36022101	2017-03	1173	6
36054038	2017-03	1244	7
36088218	2017-03	1176	3
36080900	2017-03	1060	9
45148201	2017-03	1013	6
36099589	2017-03	1100	1
36056847	2017-03	1207	8
36044440	2017-03	1058	1
36084859	2017-03	1157	7
45107513	2017-03	1326	13
45116270	2017-03	1107	3
45136998	2017-03	1149	5
36099783	2017-03	1315	4
45101698	2017-03	1096	10
36049336	2017-03	1145	5
45137099	2017-03	1087	1
36051497	2017-03	1019	5
36088625	2017-03	1094	3
36037370	2017-03	1101	2
45108340	2017-03	1119	2
45106622	2017-03	1222	2
36056855	2017-03	1215	3
45132933	2017-03	1191	4
45137013	2017-03	1299	6
45137145	2017-03	1091	3
45105804	2017-03	1164	7
36043141	2017-03	1014	2
36033995	2017-03	1557	15
45131996	2017-03	1134	6
45101000	2017-03	1151	7
45117373	2017-03	1039	3
36084514	2017-03	1018	10
36080039	2017-03	1110	4
36000310	2017-03	1667	9
36088676	2017-03	1057	4
36082279	2017-03	1327	7
36016950	2017-03	1434	8
36037397	2017-03	1115	4
36098477	2017-03	1091	1
45114307	2017-03	1084	10
45101418	2017-03	1363	7
36090670	2017-03	1248	2
36064378	2017-03	1138	3
36067431	2017-03	1271	5
45100861	2017-03	1124	4
36075760	2017-03	1093	5
45147752	2017-03	1196	7
36053775	2017-03	1099	4
36053627	2017-03	1063	3
45108382	2017-03	1279	7
36067440	2017-03	1183	2
45102775	2017-03	1249	4
45102635	2017-03	1535	6
36074284	2017-03	1096	4
36073938	2017-03	1205	6
36054046	2017-03	1165	4
45136181	2017-03	1069	3
36086886	2017-03	1064	7
36085111	2017-03	1224	11
36054054	2017-03	1027	3
36082813	2017-04	1023	1
45149844	2017-04	1041	5
45107785	2017-04	1474	6
26088886	2017-04	1085	1
36075728	2017-04	1225	3
36070378	2017-04	1271	2
45141053	2017-04	1140	6
45143404	2017-04	1106	2
36077151	2017-04	1046	3
36067377	2017-04	1125	2
26075954	2017-04	1699	1
45120919	2017-04	1001	5
45172196	2017-04	1150	5
36057096	2017-04	1023	2
36037354	2017-04	1346	2
45126550	2017-04	1067	1
45114994	2017-04	1064	1
36083356	2017-04	1075	3
36085685	2017-04	1087	5
36086002	2017-04	1023	5
36099112	2017-04	1317	11
45106746	2017-04	1171	12
45113939	2017-04	1053	6
36036480	2017-04	1112	1
36051756	2017-04	1236	5
36022365	2017-04	1501	4
45109583	2017-04	1302	4
45107459	2017-04	1064	2
45133263	2017-04	1165	2
36019640	2017-04	1242	2
36077178	2017-04	1139	6
36066893	2017-04	1043	1
36016691	2017-04	1539	10
36056839	2017-04	1172	3
36051217	2017-04	1290	3
45102104	2017-04	1091	4
45118280	2017-04	1169	3
45105863	2017-04	1132	1
36099309	2017-04	1059	10
45161640	2017-04	1002	5
45126798	2017-04	1062	2
36082066	2017-04	1404	9
36081264	2017-04	1091	5
45108145	2017-04	1198	1
45106614	2017-04	1222	3
45111928	2017-04	1127	4
36044644	2017-04	1537	8
36099490	2017-04	1025	1
36022101	2017-04	1179	2
36054038	2017-04	1271	2
36074918	2017-04	1434	5
36099589	2017-04	1080	2
36044440	2017-04	1038	1
36084859	2017-04	1169	2
45107513	2017-04	1342	4
45116270	2017-04	1090	3
54144949	2017-04	1149	6
36099783	2017-04	1313	4
45101698	2017-04	1100	2
36049336	2017-04	1208	5
36063495	2017-04	1052	5
36051497	2017-04	1006	1
36088625	2017-04	1068	3
36037370	2017-04	1077	1
45106622	2017-04	1194	4
45137013	2017-04	1282	1
45105804	2017-04	1161	1
36043141	2017-04	1040	4
45101000	2017-04	1124	1
36042080	2017-04	1348	7
36098442	2017-04	1274	3
36000310	2017-04	1691	6
45143781	2017-04	1423	5
36098710	2017-04	1154	6
36088676	2017-04	1054	1
36082279	2017-04	1366	3
36016950	2017-04	1428	1
45135614	2017-04	1052	5
36097799	2017-04	1131	1
36057290	2017-04	1173	2
36098477	2017-04	1038	3
45114307	2017-04	1106	1
45101418	2017-04	1402	5
36090670	2017-04	1296	3
36064378	2017-04	1165	1
45100446	2017-04	1266	2
36051250	2017-04	1146	2
45147752	2017-04	1172	1
36053775	2017-04	1121	1
36053627	2017-04	1060	1
45108382	2017-04	1253	3
45148236	2017-04	1011	9
45102635	2017-04	1521	2
36074284	2017-04	1116	7
45115753	2017-04	1349	2
36073938	2017-04	1167	4
45150613	2017-04	1041	9
36073563	2017-04	1083	4
45136181	2017-04	1032	2
45106657	2017-04	1254	5
36086886	2017-04	1067	3
36085111	2017-04	1202	1
36054054	2017-04	1009	1
7912170	2017-05	1035	5
36082813	2017-05	1069	6
45149844	2017-05	1029	6
45107785	2017-05	1504	6
36075728	2017-05	1164	7
36070378	2017-05	1329	8
45118000	2017-05	1124	6
45159890	2017-05	1174	7
36035726	2017-05	1130	4
45132569	2017-05	1143	10
45143404	2017-05	1103	1
36044415	2017-05	1067	13
36067377	2017-05	1203	5
26075954	2017-05	1687	15
45156506	2017-05	1005	6
36037354	2017-05	1365	13
45126550	2017-05	1100	5
45114994	2017-05	1090	5
36083356	2017-05	1021	5
45106746	2017-05	1189	9
45136122	2017-05	1049	2
45102597	2017-05	1051	5
36051756	2017-05	1200	5
36022365	2017-05	1499	15
45109583	2017-05	1321	7
45143129	2017-05	1303	10
36000205	2017-05	1149	6
36019640	2017-05	1261	6
36080730	2017-05	1099	7
36097993	2017-05	1128	2
36083372	2017-05	1512	7
45147833	2017-05	1118	6
36016691	2017-05	1459	8
36051217	2017-05	1306	7
45102104	2017-05	1045	6
45118280	2017-05	1147	9
45105863	2017-05	1140	6
36099309	2017-05	1028	4
45100829	2017-05	1097	5
36082066	2017-05	1391	9
45170363	2017-05	1010	3
36081264	2017-05	1048	3
36097756	2017-05	1274	7
45111928	2017-05	1215	8
36094366	2017-05	1176	11
36044644	2017-05	1529	9
36098841	2017-05	1037	25
36054038	2017-05	1346	7
36080900	2017-05	1106	11
36074918	2017-05	1464	7
45171505	2017-05	1044	6
45125244	2017-05	1223	8
45104026	2017-05	1114	7
45107513	2017-05	1355	2
45116270	2017-05	1071	7
36099694	2017-05	1148	9
45170550	2017-05	1061	5
36099783	2017-05	1489	14
36049336	2017-05	1259	18
36037370	2017-05	1066	10
45106622	2017-05	1171	7
36056855	2017-05	1180	6
45112290	2017-05	1065	10
45132933	2017-05	1183	8
36053872	2017-05	1170	12
45137145	2017-05	1091	6
45105804	2017-05	1105	6
45147299	2017-05	1034	8
45102627	2017-05	1175	6
36043141	2017-05	1054	7
45151245	2017-05	1294	5
36033995	2017-05	1527	8
45101000	2017-05	1098	6
36042080	2017-05	1323	10
36084514	2017-05	1012	5
36080039	2017-05	1188	12
36000310	2017-05	1692	11
45143781	2017-05	1301	6
36088676	2017-05	1154	5
36082279	2017-05	1394	8
36016950	2017-05	1422	9
45129266	2017-05	1001	7
36037397	2017-05	1139	9
36057290	2017-05	1245	8
36098477	2017-05	1053	6
45101418	2017-05	1294	7
36090670	2017-05	1316	4
36064378	2017-05	1150	3
45100861	2017-05	1133	6
45111073	2017-05	1068	9
36075760	2017-05	1185	8
45147752	2017-05	1198	7
36053775	2017-05	1174	5
36053627	2017-05	1124	4
45108382	2017-05	1247	13
36067440	2017-05	1196	7
45102775	2017-05	1202	6
45102635	2017-05	1597	25
36071471	2017-05	1185	8
36073938	2017-05	1239	7
45150613	2017-05	1020	3
36054046	2017-05	1116	5
45136181	2017-05	1001	3
45106657	2017-05	1199	5
36086886	2017-05	1049	6
45113882	2017-05	1010	8
45115419	2017-05	1333	12
45122580	2017-05	1132	7
36082813	2017-06	1057	1
45107785	2017-06	1543	4
36075728	2017-06	1168	2
45118000	2017-06	1072	3
36083364	2017-06	1253	1
45143404	2017-06	1117	9
26075954	2017-06	1698	3
45120919	2017-06	1088	9
36037354	2017-06	1375	6
36099112	2017-06	1315	7
45106746	2017-06	1228	23
45113939	2017-06	1050	1
45136122	2017-06	1069	3
36022365	2017-06	1440	2
45109583	2017-06	1381	6
45107459	2017-06	1031	4
45133263	2017-06	1182	3
36080730	2017-06	1087	4
36097993	2017-06	1077	4
36083372	2017-06	1541	1
36077178	2017-06	1098	2
